,x,y,Redshift,Halo_ID,Halo_SFR,Halo_Volume,Number_of_Subhalos,Mass,Age_Myr,Age_Log(yrs),Z,ccSNRate,IMF,ccSNe,Mean,Std,FWHM
1003,4352.7021699186935,20247.638061456797,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1802698.0,18.530690934173588,7.267891612697457,0.022247795,168.19730058474366,imf_chab100,II-other,192.45328521415405,100.54780920269624,236.77199659445648
1004,4351.182746505216,20244.72799186995,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1281700.4,14.398768604382273,7.15832535242935,0.026968738,184.06714992001477,imf_chab100,II-other,130.60218971979043,164.83346710877703,388.1531524396978
1005,4351.784447058142,20246.45834352154,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1701938.2,34.98318519984611,7.543859349217557,0.020881006,300.69558417977913,imf_chab100,II-other,138.43745807711645,136.3899957918208,321.17389603226644
1006,4346.442411890833,20248.23014072167,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1195213.0,62.29762077367074,7.794471460710582,0.025342107,23.326376679165907,imf_chab100,II-other,13.39704177367296,28.20294873227714,66.41286900374641
1007,4347.856371185256,20250.306858743206,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1129635.1,28.34376038279407,7.45245746782956,0.027407557,225.12787820347864,imf_chab100,II-other,67.72966102532638,136.3899957918208,321.17389603226644
1008,4352.966755340183,20247.438234704903,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1544571.9,6.356261027919086,6.8032017237551585,0.026605116,153.42973103995223,imf_chab100,II-other,64.10644760125842,202.40446616652463,476.62609413272077
1009,4351.435860390949,20245.487333527148,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1352427.0,61.94048560799814,7.791974605864928,0.024779188,58.844855010596284,imf_chab100,II-other,14.05593041486166,28.20294873227714,66.41286900374641
1010,4349.72586146409,20245.499175112447,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1907120.1,59.020855834917455,7.771005502718791,0.02178235,52.06109765760427,imf_chab100,II-other,17.563686446693357,28.20294873227714,66.41286900374641
1011,4350.92075143051,20250.887096422783,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1248566.1,45.80507787818932,7.660913625869266,0.020434598,144.76067671677234,imf_chab100,II-other,67.56804788163993,73.18304868776966,172.3329100064359
1012,4352.64518228945,20247.37606638209,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1321012.1,68.36178195021914,7.834813374719571,0.018221175,13.187885454984961,imf_chab100,II-other,21.731990868439954,28.20294873227714,66.41286900374641
1014,4346.435380949562,20246.97493268014,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,793515.0,64.43993649760272,7.809155103771477,0.02171249,15.987470623336955,imf_chab100,II-other,17.64545657787287,28.20294873227714,66.41286900374641
1015,4352.3598740936895,20246.292561327373,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1301285.5,31.002157486129445,7.491391918083208,0.024862317,46.14385412643153,imf_chab100,II-other,95.30445717234159,136.3899957918208,321.17389603226644
1016,4351.373692068137,20250.37790825499,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1331359.2,64.55908719243153,7.809957381223113,0.014761412,17.662363172200607,imf_chab100,II-other,25.781593994120463,28.20294873227714,66.41286900374641
1017,4351.438450737733,20250.146997341693,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,949722.1,62.89288768048884,7.798601535496726,0.020463485,5.818879845331605,imf_chab100,II-other,19.10739907277515,28.20294873227714,66.41286900374641
1019,4351.736340617871,20244.34906114043,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1215115.5,142.03418741251107,8.152392890985782,0.02719771,13.457939677207369,imf_chab100,II-other,11.62153796282556,5.686463745668124,13.390598813641073
1020,4352.2174050205795,20248.70232393541,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,903246.25,61.82129017335258,7.791138064287962,0.020239517,4.204867855819143,imf_chab100,II-other,19.369550414601864,28.20294873227714,66.41286900374641
1022,4351.060260107295,20250.246170618557,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1315067.1,15.493110336400218,7.190138613778285,0.023098594,418.4661236671064,imf_chab100,II-other,189.46995233424428,164.83346710877703,388.1531524396978
1024,4352.757677349776,20246.60192274327,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,989399.06,128.5618576524996,8.109112139131774,0.02460066,3.860705040896102,imf_chab100,II-other,5.170469182172164,2.3840515697138045,5.614012424749567
1025,4349.366913409761,20244.81236316519,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,1337477.0,5.623908430964608,6.750038240843465,0.026521016,234.56571556227553,imf_chab100,II-other,65.25317260108994,202.40446616652463,476.62609413272077
1027,4352.265511460851,20244.874531488007,2.8957850057274284,0.0,38.366302,8.986219497443108e-15,5816056.0,898774.2,157.58803532359477,8.197523241134547,0.029233264,6.98080666313118,imf_chab100,II-other,12.090103021075876,5.686463745668124,13.390598813641073
