id,sfr,sfrd,snr,snr_solar,snrd,mass,z,halo_volume
131961.0,45.20156,1.9231702389341932e+16,0.04994444798285147,3.635395556553037e-08,21249637393182.195,6556018058.63,1.4955121664955555,2.3503670702106106e-15
107199.0,4.8913183,2179690091746261.0,0.004400246616357433,3.367128502529016e-09,1960856636730.083,522328040.9,1.4955121664955555,2.244043003416745e-15
38763.0,5.721817,3891621761480471.0,0.011635841036477875,8.987537431560129e-09,7913970717813.027,1024921366.89,1.4955121664955555,1.4702911409929202e-15
85557.0,2.1631398,1278302587286136.5,0.0026146936372802494,2.1491901377037982e-09,1545147309247.3918,61034077.71,1.4955121664955555,1.692196997420143e-15
103762.0,0.116103955,55609683832554.586,0.0010712270812436306,7.733465890032874e-10,513079845564.5078,23619780.78,1.4955121664955555,2.087836991657761e-15
57451.0,22.380388,3.2003533000496492e+16,0.018538515171278736,1.4301616587936224e-08,26509727269438.934,1830653560.67,1.4955121664955555,6.993099168036479e-16
172794.0,14.345008,7073127746753659.0,0.0424732975389164,3.205748230737849e-08,20942411417172.684,3994354707.08,1.4955121664955555,2.0280996630640387e-15
171798.0,20.885504,4.102852304691843e+16,0.021267261293635945,1.5503765321227765e-08,41778466065783.164,2584348137.63,1.4955121664955555,5.090483997222189e-16
212926.0,0.9872108,767250144454204.5,0.004379260200838889,3.200881577486608e-09,3403516272002.075,222378937.92,1.4955121664955555,1.2866870174423597e-15
140271.0,19.640072,1.3096809882667922e+16,0.02725790205677464,1.9999380298407644e-08,18176693091448.973,2492390845.55,1.4955121664955555,1.499607322390112e-15
203186.0,19.40202,1.7252132599570178e+16,0.02272899567150913,1.6851200391044927e-08,20210454745430.227,3100343856.37,1.4955121664955555,1.124615747532765e-15
159724.0,23.364775,2.081988989674498e+16,0.013477580528091967,1.0191192061301953e-08,12009606027423.283,3536701998.72,1.4955121664955555,1.1222333603047964e-15
89409.0,8.815065,3957901075396150.5,0.026332725317272525,1.985888152717877e-08,11823205143846.854,2917827431.74,1.4955121664955555,2.227207004944582e-15
176608.0,2.0774374,4319904209408504.0,0.0006226846800112409,4.598955998190552e-10,1294834766291.753,77866219.74,1.4955121664955555,4.808989503691911e-16
71188.0,1.9526635,760569921780824.6,0.0029780882635211028,2.3969910783388318e-09,1159976799711.08,78474871.89,1.4955121664955555,2.5673688165684578e-15
5.0,0.78401744,306223956607314.4,0.013373113753416358,1.0912512893381144e-08,5223312131590.912,1052103057.0,1.4955121664955555,2.5602746717997085e-15
221594.0,23.87103,2.8627979693897704e+16,0.02726099043527308,2.060365297874836e-08,32693481622558.273,2986327611.73,1.4955121664955555,8.338356480352091e-16
104513.0,5.0637302,2968699922481874.0,0.005748009284349181,4.127942128978223e-09,3369870439952.054,334887777.05,1.4955121664955555,1.7057063132762345e-15
235265.0,6.3039694,7113745736356316.0,0.0027487985471665527,1.891479507279613e-09,3101895441467.165,512996167.44,1.4955121664955555,8.861673770236429e-16
154478.0,27.59639,1.3703936526586714e+16,0.02364457357863066,1.7245064623133814e-08,11741526174973.025,2298770000.97,1.4955121664955555,2.0137564083473996e-15
111735.0,151.93858,7.969628158770008e+16,0.16134911889707929,1.2131509281708444e-07,84632387728968.7,16017309461.88,1.4955121664955555,1.9064701259970634e-15
91693.0,9.887713,3408176041400270.0,0.01997928826614325,1.5159055813526582e-08,6886620960064.17,956609107.32,1.4955121664955555,2.9011743759390937e-15
125975.0,9.989036,5062654605156731.0,0.023085329191699273,1.7636888714955614e-08,11700132840037.36,1751289677.38,1.4955121664955555,1.973082657036359e-15
99385.0,1.0268202,7703477605851759.0,0.0006505640434306993,4.749875033541536e-10,4880704080169.794,37868296.15,1.4955121664955555,1.3329307262735482e-16
73229.0,21.61202,4203225724522832.0,0.03644768689842562,2.7737644462894495e-08,7088548648891.513,2706365828.89,1.4955121664955555,5.141770015802206e-15
188161.0,8.387744,4329389688549249.5,0.0027718255364550474,2.0585821740370137e-09,1430696131878.3662,809378775.56,1.4955121664955555,1.937396400740881e-15
282461.0,3.6063473,4373343106226464.5,0.000738899384547359,5.982992403492535e-10,896048067695.8567,159676994.26,1.4955121664955555,8.246202532944491e-16
