_idx,x,y,mtl,age_sfs,mass_solar,id,initial_mass_solar,age_Myr,age_bin,halo_id,halo_SFR,redshift,halo_volume,number_of_subhalos,RandomRate
2482,16206.569781662298,4082.4494397154954,0.061667375,0.2456893,1243996.6,109044430948,1622058.8,140.31169532059718,8.147093872036992,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2483,16206.590504436568,4082.7850746487698,0.050639324,0.24936357,1394050.0,109416310174,1775317.8,93.74534538572688,7.9719497134826565,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2484,16206.463207394621,4082.6274335444973,0.0635376,0.24489024,1313493.8,109234184610,1720496.8,150.39699638060046,8.177239162928784,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2485,16206.51649452846,4082.422056049495,0.031647775,0.2506036,1601075.1,109256989424,1995676.8,77.95946742554038,7.891868863604396,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.000027031418349854412
2486,16206.59790542738,4082.87351648896,0.039303847,0.24856637,1971820.4,109387583017,2510952.2,103.87508931373723,8.016511410206816,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,4.0346559748223334e-7
2487,16206.871742087384,4082.4531402109005,0.065328695,0.24768919,1560249.1,109272270225,2010544.0,115.00432596070765,8.060714176923428,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2488,16206.64527176857,4082.516418682334,0.056252796,0.24524859,877670.3,109184057417,1146972.4,145.87616553907122,8.163984339045989,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2489,16206.812534160896,4082.150069637194,0.06521272,0.24572568,1015407.8,109226718990,1323930.6,139.85206466503675,8.145668882334386,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2490,16206.338870748998,4082.663698399471,0.06492531,0.24502173,780040.1,109246742943,1021065.9,148.73861648884156,8.172423737524895,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
2491,16206.627509390624,4082.4549904586033,0.063197166,0.24660048,1828209.4,108858502623,2371375.2,128.79301407275844,8.109892306875242,62862,47.08405,2.8957850057274284,4.1232558892059945e-16,5816056,0.0
